unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,obs,n
73,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Periurban-rural,2002,,0,"60º37’30""LW","24º41’67""LS",,,,,-60.625,-24.693611,1,coordinates,Cited in ref,Salomón et al. 2006a,,
74,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Periurban-rural,2002,,0,"60º35’22""LW","24º41’15""LS",,,,,-60.589443,-24.687505,1,coordinates,Cited in ref,Salomón et al. 2006a,,
75,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Periurban-rural,2002,,0,"60º35’ 9""LW","24º41’23""LS",,,,,-60.585833,-24.68972,1,coordinates,Cited in ref,Salomón et al. 2006a,,
76,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Periurban-rural,2002,,0,"60º35’07""LW","24º43’14""LS,",,,,,-60.585278,-24.720556,1,coordinates,Cited in ref,Salomón et al. 2006a,,
77,L. neivai,,L_neivai,Argentina,Formosa,Las Lomitas,Periurban-rural,2002,,,"60º35’22""LW","24º41’15""LS",,,,,-60.58944,-24.6875,1,coordinates,Cited in ref,Salomón et al. 2006a,,
78,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Pilcomayo basin,2002,,0,"60º41’40""LW","24º08’97""LS",,,,,-60.694444,-24.14916,1,coordinates,Cited in ref,Salomón et al. 2006a,,
79,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Pilcomayo basin,2002,,0,"60º37’69""LW","24º14’19""LS",,,,,-60.633056,-24.238611,1,coordinates,Cited in ref,Salomón et al. 2006a,,
80,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Pilcomayo basin,2002,,0,"60º22’54""LW","24º26’62""LS",,,,,-60.381667,-24.447778,1,coordinates,Cited in ref,Salomón et al. 2006a,,
81,L. migonei,,L_migonei,Argentina,Formosa,Las Lomitas,Pilcomayo basin,2002,,0,"60º20’05""LW","24º24’55""LS",,,,,-60.334725,-24.41528,1,coordinates,Cited in ref,Salomón et al. 2006a,,
82,L. longipalpis,,L_longipalpis,Argentina,Formosa,Puerto Pilcomayo,"Peridomestic pig pens of Puerto Pilcomayo, Km9 and KM 11 1/2",2004,,0,,,,,,,-57.66903,-25.354193,2,,,Salomon & Orellano 2005,,
83,L. longipalpis,,L_longipalpis,Argentina,Formosa,Puerto Pilcomayo,,2007,,0,57º40’23.1”,25º21’07.0”,,,,,-57.67308,-25.351944,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
84,L. longipalpis,,L_longipalpis,Argentina,Formosa,Puerto Pilcomayo,,2007,,0,57º40’08.5”,25º21’15.1”,,,,,-57.66903,-25.354193,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
85,L. longipalpis,,L_longipalpis,Argentina,Formosa,Puerto Pilcomayo,,2007,,0,57º39’43.0”,25º21’36.9”,,,,,-57.661944,-25.36025,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
86,L. longipalpis,,L_longipalpis,Argentina,Formosa,Puerto Pilcomayo,,2007,,0,57º39’13.8”,25º22’21.5”,,,,,-57.653833,-25.372639,1,coordinates,Cited in ref,Salomón et al. 2009b,Precise coordinates given in table,
87,L. neivai,,L_neivai,Argentina,Formosa,Puerto Pilcomayo,,2004,,,,,,,,,-57.66903,-25.354193,2,,,Salomón & Orellano 2005,,
88,L. migonei,,L_migonei,Argentina,Jujuy,Calilegua,,NA (before 1978),NA (before 1978),0,,,,,,,-64.770051,-23.774562,3,,Google Earth,Martins et al. 1978,,
89,L. migonei,,L_migonei,Argentina,Jujuy,El Palmar,,NA (before 1978),NA (before 1978),0,,,,,,,-64.595378,-24.08636,3,,Google Earth,Martins et al. 1978,,
90,L. migonei,,L_migonei,Argentina,Jujuy,El Talar,,NA (before 1978),NA (before 1978),0,,,,,,,-64.36253,-23.55801,3,,Google Earth,Martins et al. 1978,,
91,L. migonei,,L_migonei,Argentina,Jujuy,La Esperanza,San Pedro,NA (before 1978),NA (before 1978),0,,,,,,,-64.83666,-24.22404,3,,,Martins et al. 1978,,
92,L. migonei,,L_migonei,Argentina,Jujuy,La Esperanza,,NA (before 1978),NA (before 1978),0,,,,,,,-64.83666,-24.22404,3,,Google Earth,Martins et al. 1978,,
93,L. migonei,,L_migonei,Argentina,Jujuy,Ledesma,,NA (before 1978),NA (before 1978),0,,,,,,,-64.79178,-23.8324,3,,Google Earth,Martins et al. 1978,,
94,L. intermedia,,L_neivai,Argentina,Misiones,Andrecito,,1993,,,,,,,,,-54.049846,-25.675358,3,,,Salomón et al. 2002b,Map with collection sites,
95,L. migonei,,L_migonei,Argentina,Misiones,Bernardo de Irigoyen,,NA (before 1978),NA (before 1978),0,,,,,,,-53.64748,-26.263,3,,Google Earth,Martins et al. 1978,,
96,L. longipalpis,,L_longipalpis,Argentina,Misiones,Candelaria,Center for Wild Animal Reahablitation and Breeding El Puma,2006,,0,55º 48’ 11”W,27º 27’ 42”S,,,,,-55.803056,-27.461667,1,coordinates,Cited in ref,Salomón et al. 2008c,Coordinates given,
97,L. neivai,,L_neivai,Argentina,Misiones,Candelaria,Center for Wild Animal Reahablitation and Breeding El Puma,2006,,,55º 48’ 11”W,27º 27’ 42”S,,,,,-55.803056,-27.461667,1,coordinates,Cited in ref,Salomón et al. 2008c,Coordinates given,
98,L. longipalpis,,L_longipalpis,Argentina,Misiones,Candelaria,,NA (before 1978),NA (before 1978),0,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Martins et al. 1978,,
99,L. intermedia,,L_neivai,Argentina,Misiones,Candelaria,,1993,,,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Salomón et al. 2002b,Map with collection sites,
100,L. whitmani,,L_whitmani,Argentina,Misiones,Candelaria,,NA (before 1978),NA (before 1978),0,,,,,,,-55.803056,-27.461667,3,,Salomón et al. 2008c,Martins et al. 1978,,
101,L. intermedia,,L_neivai,Argentina,Misiones,Corpus,,1993,,,,,,,,,-55.5085,-27.12286,3,,,Salomón et al. 2002b,Map with collection sites,
102,L. whitmani,,L_whitmani,Argentina,Misiones,Corpus,,1993,,0,,,,,,,-55.5085,-27.12286,3,,,Salomón et al. 2002b,Map with collection sites,
103,L. longipalpis,,L_longipalpis,Argentina,Misiones,Garupá,casas na cidade (ver mapa no artigo),2007,,0,,,,,,,-55.86186,-27.44488,2,,Google Earth,Fernandez et al. 2010,,
104,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú,Foco 1: Urugua-í,2004,,0,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,Satellite image with sites,
105,L. migonei,,L_migonei,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,0,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,"Satellite image with sites, coordinates taken from Google Earth",
106,L. neivai,,L_neivai,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,"Satellite image with sites, coordinates taken from Google Earth",
107,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú,Foco 2: Esperanza,1998,,0,,,,,,,-54.6223,-26.0239,2,,,Salomón et al. 2006d,"Satellite image with sites, coordinates taken from Google Earth",
108,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú,,NA (before 1978),NA (before 1978),0,,,,,,,-54.6223,-26.0239,2,,,Martins et al. 1978,,
109,L. whitmani,,L_whitmani,Argentina,Misiones,Iguazú-Cué,,NA (before 1978),NA (before 1978),0,,,,,,,-54.6223,-26.0239,2,,,Martins et al. 1978,,
110,L. migonei,,L_migonei,Argentina,Misiones,Martires,Farms,2006,,0,55º 24’W,27º 26’S,,,,,-55.4083,-27.4416,2,,,Salomón et al. 2008c,Coordinates given,
111,L. neivai,,L_neivai,Argentina,Misiones,Martires,Farms,2006,,,55º 24’W,27º 26’S,,,,,-55.4083,-27.4416,2,,,Salomón et al. 2008c,Coordinates given,
