unique.id,cited.species,gender,considered.species,country,admin2,admin3,locality,col.start.year,col.finish.year,1.year.monthly?,lon_orig,lat_orig,mun_geocod,mun_lon,mun_lat,area.mun.km,lon_dec,lat_dec,coord.prec,loc_type_wieczorek,fonte das coordenadas,ref,year_of_pub,obs,n
1740,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Cuiabá,área urbana,1996,2001,,,,5103403,-56.073252,-15.569989,3291.816,-56.073252,-15.569989,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"autor relata L. flaviscutellata em Cuiabá na discussão, como dado ainda não publicado",
1763,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Denise,Aldeia,1990,1990,0,,,5103452,-57.053777,-14.733816,1307.188,-56.839512,-14.818136,2,,Google Earth,Collection data: CPqRR (speciesLink),,,
1764,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Denise,Aldeia,1990,1990,0,,,5103452,-57.053777,-14.733816,1307.188,-56.839512,-14.818136,2,,Google Earth,Collection data: CPqRR (speciesLink),,,
1765,L. flaviscutellata,MF,L_flaviscutellata,Brazil,Mato Grosso,Denise,"Aldeia, margens esquerda e direita do rio Paraguai",1990,1990,0,-,-,5103452,-57.053777,-14.733816,1307.188,-56.839512,-14.818136,2,,Google Earth,Collection data: CPqRR,,"CPqRR 2705, 2708, 2710",
1770,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Diamantino,,NA (before 1978),NA (before 1978),0,,,5103502,-56.433566,-14.401323,8230.096,-56.433566,-14.401323,3,,IBGE 2015 (Municipality admin center),Martins et al. 1978,1978,,
1776,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Feliz Natal,,1996,2001,,,,5103700,-54.933904,-12.383247,11462.464,-54.933904,-12.383247,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1784,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Gaúcha do Norte,,1996,2001,,,,5103858,-53.261519,-13.188043,16930.665,-53.261519,-13.188043,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
1825,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Juína,Castanheira,1987,1987,0,,,5105150,-58.762217,-11.422018,26189.906,-58.762217,-11.422018,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1826,L. umbratilis,,L_umbratilis,Brazil,Mato Grosso,Juína,Rio Vermelho,1987,1987,0,,,5105150,-58.762217,-11.422018,26189.906,-58.762217,-11.422018,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1827,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Juína,Rio Vermelho,1987,1987,0,,,5105150,-58.762217,-11.422018,26189.906,-58.762217,-11.422018,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1833,L. whitmani,,L_whitmani,Brazil,Mato Grosso,Juína,,1987,1987,0,,,5105150,-58.762217,-11.422018,26189.906,-58.762217,-11.422018,3,,IBGE 2015 (Municipality admin center),Collection data: CPqRR (speciesLink),,,
1844,L. flaviscutellata,,L_flaviscutellata,Brazil,Mato Grosso,Marcelândia,,1996,2001,,,,5105580,-54.519306,-11.080591,12281.254,-54.519306,-11.080591,3,,IBGE 2015 (Municipality admin center),Ribeiro et al. 2007,2007,"mapa com localidades de coleta, georreferenciado no QGIS para ver o município",
