"cv_0","pa","lon","lat","bio10_SA","bio13_SA","bio15_SA","bio2_SA","bio3_SA"
10,0,-58.3541666666667,-24.1041666666667,27.8400001525879,131,41.2764772294517,12.210999806722,54.7971620414918
6,0,-39.5208333333333,-10.1458333333333,24.3600002924601,92,53.3116031928749,10.718333085378,63.0787036322484
8,0,-69.0208333333333,-21.8541666666667,12.2926666736603,12,146.529423615729,16.660666873989,67.8918788172557
2,0,-60.3125,-22.3958333333333,28.5486669540405,105,58.296442889164,13.9636667569478,57.7106364645651
1,0,-58.6041666666667,-29.7291666666667,25.7866665522257,146,34.2163575152528,12.1330004135768,48.6409559929693
10,0,-60.1458333333333,-22.4375,28.6900005340576,106,56.568715250464,13.7973331610362,57.6522334901086
4,0,-56.6458333333333,-24.8958333333333,27.370000521342,178,33.3011138950129,10.8306669394175,53.7342100519655
1,0,-67.6458333333333,-22.4375,6.29666654268901,30,133.186353975996,24.632333278656,73.2930654131256
4,0,-50.5208333333333,-26.8541666666667,17.8986666997274,167,17.0561420046411,10.7570000886917,56.2134197364782
3,0,-56.9791666666667,-29.8125,25.3406670888265,176,24.1136759707763,10.7913331985474,46.1562581083221
8,0,-52.6875,-12.0625,25.9620002110799,297,81.259117046995,14.9873332182566,75.4953306452836
6,0,-54.1458333333333,-16.7708333333333,24.0246664683024,291,75.8140977164798,13.0876670678457,70.6372327311291
8,0,-68.0208333333333,-21.4791666666667,7.89800008138021,31,157.790871674104,20.4170001745224,70.3646252013362
8,0,-42.3125,-13.9791666666667,22.4053335189819,169,92.0840105836568,10.8339996337891,74.409340873474
6,0,-47.1458333333333,-4.22916666666666,26.239333152771,317,80.6239645885227,11.6953330039978,89.2500986133005
5,0,-68.8958333333333,-28.9791666666667,7.79599992434184,28,66.8283428534281,10.6333333129684,55.3473525509357
8,0,-50.1041666666667,-14.5208333333333,26.3313331604004,273,83.7693145143467,12.5163333415985,71.1802450016837
8,0,-57.2291666666667,-18.7291666666667,27.9493335088094,196,63.1820457811466,10.7346668243408,63.4886883999287
5,0,-44.8958333333333,-10.4375,26.3053337732951,172,88.9064554342161,15.7476662794749,78.3466080702524
4,0,-61.0208333333333,-29.3958333333333,25.4433336257935,146,53.9314960161696,12.0870000918706,47.7294254190889
4,0,-50.2708333333333,-8.77083333333333,26.102666536967,288,71.9491512648194,13.1730004946391,88.1726796652327
9,0,-50.0625,-9.89583333333333,26.4313338597616,287,78.5078242502804,12.7406671841939,83.9748750507627
4,0,-51.0208333333333,-15.1875,26.5133333206177,285,83.611949442054,13.1659999688466,70.7545184005051
10,0,-59.9375,-14.5208333333333,26.8613338470459,288,73.3891184419027,13.1043328444163,74.4903038854191
2,0,-64.6458333333333,-15.8958333333333,27.1059999465942,416,56.3145975534467,10.7150003115336,70.5119740006827
9,0,-43.8958333333333,-8.14583333333333,27.1033331553141,158,84.2752455927743,12.8030002911886,80.6843979491154
3,0,-54.9791666666667,-3.72916666666666,26.2933336893717,303,58.2261697500721,9.89866669972738,86.3155418915094
3,0,-62.9791666666667,-15.3541666666667,26.8053334554036,196,64.4982406096003,10.6536664962769,71.195317792681
7,0,-44.5625,-13.2291666666667,25.4353332519531,208,96.2800149036199,13.1606670220693,76.0908109177694
2,0,-62.4791666666667,-33.0208333333333,23.0639996528625,124,53.6937404321843,12.7786667346954,46.1790505800214
7,0,-53.3125,-3.27083333333333,26.0659999847412,309,69.0338842885354,10.2586668332418,87.5910769023151
6,0,-50.3125,-5.93749999999999,26.0413335164388,305,62.7941525218716,12.5273332595825,85.4058648495102
7,0,-57.7708333333333,-13.3541666666667,24.7459999720256,347,76.5596896467827,15.2466667493184,76.1267567517806
4,0,-62.8541666666667,-18.3125,26.8606669108073,126,55.4726721391344,11.0623335043589,61.4574051014191
